"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Алкогольні напої, тютюнові вироби","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","101.1","102.2","104.7","106.5","106.2","107.8","114.9","136","125.6","116","107.5","108.4","116.7","133.2","112.6","126.2","118.5","115.6","110.7","109.8","117.4","114.6","109.1","117.7"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Різні товари та послуги","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","101.8","102.8","105.6","106.2","106","108.1","122.8","127.7","109.2","107.3","103.6","102","111.4","138.6","110.3","105.4","109.5","109.8","106.4","106.5","114","115.6","109.1","111.6"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Продукти харчування та безалкогольні напої","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","99.9","106.3","111.4","116.2","105.3","109.7","135.7","111.9","110.9","106.4","97.9","97.8","112.2","145.9","109","112.9","111.1","108","102.7","110.8","126.6","114.7","104.9","117.4"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Ресторани та готелі","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","109.2","108.4","109.2","117.5","116.4","112.7","128.4","116.3","107.4","107.8","104.6","101.9","106.7","124.3","113.1","113.6","115.3","111.1","105.9","106.1","116.1","118.5","111.6","114.5"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Освіта","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","107.2","106.6","108.1","113.1","117","115.5","122.1","122.3","113.1","108.9","105.1","103.4","103.2","117.9","116.5","111.9","114.6","113.4","113.6","115.3","114.1","110.7","111.9","113"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Індекс споживчих цін","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 1993 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","100.8","105.2","109","113.5","109.1","112.8","125.2","115.9","109.4","108","100.6","99.7","112.1","148.7","113.9","114.4","110.9","107.9","102.7","109.4","120.2","112.9","106.5","112.7"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Охорона здоров’я","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","103.6","103.9","105.3","109.7","106.3","110.2","119","131.5","107.9","106.7","103.7","102.3","116.5","137.6","111.7","106.2","108.8","106.7","105.3","106.6","114.5","112.8","110.7","111.7"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Предмети домашнього вжитку, побутова техніка та поточне утримання житла","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","100.6","101.6","103","104.7","102","102.3","107.6","122.1","103.2","102.9","101.9","99.7","111.7","145.9","109.4","102.9","106.1","102.9","99.3","102.9","116.1","112.7","100","102"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Житло, вода, електроенергія, газ та інші види палива","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","102.3","104.3","107.1","109","134.1","142.5","114.2","125.5","109.4","117.1","102.6","100.3","116.2","215.8","135.1","126.7","106.8","108","97","123.2","105.1","110","116.4","108.9"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Одяг і взуття","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","101","100.6","101","101.9","102.3","102","102.8","108","103.7","101.6","98.9","97","102","133.1","116.1","102.4","101.8","100.2","95.4","95.5","97.3","99.5","94.5","95"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Відпочинок і культура","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","102.2","102.1","102.8","103.9","103.1","104.4","108.4","119.7","104","103.7","101.5","99.7","110.7","142.7","112.2","104.3","104.4","102.4","98.2","103.3","110.9","107.3","98.7","100.6"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Зв’язок","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","104.4","104.8","100","100.7","108.5","110.4","100.4","107.1","93.6","100.6","102","101.2","100.9","105.9","103.9","108.7","111","115.5","106.5","105.2","110.9","107.8","102.5","117.1"
"Індекс споживчих цін (ІСЦ)","Рік до попереднього року","Україна","Транспорт","Річна","Відсоток","Одиниці","Один","","1. Примітка: розрахунки здійснені відповідно до Методологічних положень державного статистичного спостереження ""Зміни цін (тарифів) на споживчі товари (послуги)"", затверджених наказом Держстату від 16 грудня 2021 року № 310 зі змінами (розміщені на офіційному вебсайті Держстату (www.stat.gov.ua) у розділі ""Описи показників""/""Зміни цін (тарифів) на споживчі товари (послуги)""/""Методологія""). 2. Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, згідно з метою спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій і визначення переможців під час проведення торгів відповідно до процедур, встановлених Законом України ""Про публічні закупівлі"".","1. З 2002 року. 2. За 2014 рік дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м.Севастополя. 3. За 2015-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 4. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 5. Розрахунки індексів споживчих цін здійснюються відповідно до Класифікації індивідуального споживання за цілями (КІСЦ). 6. Перегляд даних, розрахованих і оприлюднених раніше, не здійснюється.","","101.7","103.7","110.9","120","114.3","109.5","124.5","120.7","109.6","117.6","108.2","102","124.5","136.8","106.5","114.2","115.7","104.1","98.1","110","131.8","112.1","107.2","107.2"
